,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression
1107,1108,"For the first time in his life Kemp discovered that the hill-road was indescribably vast and desolate, and that the beginnings of the town far below at the hill foot were strangely remote. Never had there been a slower or more painful method of progression than running. All the gaunt villas, sleeping in the afternoon sun, looked locked and barred; no doubt they were locked and barred by his own orders. But at any rate they might have kept a lookout for an eventuality like this! The town was rising up now, the sea had dropped out of sight behind it, and people down below were stirring. A tram was just arriving at the hill foot. Beyond that was the police station. Was that footsteps he heard behind him? Spurt.",NO QUOTE,,,,0,28,1.0,1.0
1108,1109,"The people below were staring at him, one or two were running, and his breath was beginning to saw in his throat. The tram was quite near now, and the  /newquote  was noisily barring its doors. Beyond the tram were posts and heaps of gravel the drainage works. He had a transitory idea of jumping into the tram and slamming the doors, and then he resolved to go for the police station. In another moment he had passed the door of the  /newquote  and was in the blistering fag end of the street, with human beings about him. The tram driver and his helper arrested by the sight of his furious haste stood staring with the tram horses unhitched. Further on the astonished features of navvies appeared above the mounds of gravel.","Jolly Cricketers /newquote Jolly Cricketers,",Kemp,[],NO MONOLOGUE,0,28,Anaphoric,he said
1109,1110,"His pace broke a little, and then he heard the swift pad of his pursuer, and leapt forward again.  /newquote  he cried to the navvies, with a vague indicative gesture, and by an inspiration leapt the excavation and placed a burly group between him and the chase. Then abandoning the idea of the police station he turned into a little side street, rushed by a greengrocer s cart, hesitated for the tenth of a second at the door of a sweetstuff shop, and then made for the mouth of an alley that ran back into the main Hill Street again. Two or three little children were playing here, and shrieked and scattered at his apparition, and forthwith doors and windows opened and excited mothers revealed their hearts. Out he shot into Hill Street again, three hundred yards from the tram-line end, and immediately he became aware of a tumultuous vociferation and running people.",The Invisible Man!,Kemp,"['The Second Policeman', 'The First Policeman', 'The Housemaid']",NO MONOLOGUE,0,28,Explicit,said Kemp
1110,1111,"He glanced up the street towards the hill. Hardly a dozen yards off ran a huge navvy, cursing in fragments and slashing viciously with a spade, and hard behind him came the tram conductor with his fists clenched. Up the street others followed these two, striking and shouting. Down towards the town, men and women were running, and he noticed clearly one man coming out of a shop-door with a stick in his hand.  /newquote  cried some one. Kemp suddenly grasped the altered condition of the chase. He stopped, and looked round, panting.  /newquote  he cried. ",Spread out! Spread out! /newquote He s close here! /newquote Form a line across ,Kemp,"['The Invisible Man', 'The Constable', 'The Big Navvy']",NO MONOLOGUE,0,28,Anaphoric,he cried
1111,1112,"He was hit hard under the ear, and went reeling, trying to face round towards his unseen antagonist. He just managed to keep his feet, and he struck a vain counter in the air. Then he was hit again under the jaw, and sprawled headlong on the ground. In another moment a knee compressed his diaphragm, and a couple of eager hands gripped his throat, but the grip of one was weaker than the other; he grasped the wrists, heard a cry of pain from his assailant, and then the spade of the navvy came whirling through the air above him, and struck something with a dull thud. He felt a drop of moisture on his face. The grip at his throat suddenly relaxed, and with a convulsive effort, Kemp loosed himself, grasped a limp shoulder, and rolled uppermost. He gripped the unseen elbows near the ground.  /newquote  screamed Kemp. ",I ve got him! /newquote Help! Help hold! He s down! Hold his feet!,Kemp,"['The Invisible Man', 'The Constable', 'The Big Navvy']",NO MONOLOGUE,0,28,Explicit,screamed Kemp
1112,1113,"In another second there was a simultaneous rush upon the struggle, and a stranger coming into the road suddenly might have thought an exceptionally savage game of Rugby football was in progress. And there was no shouting after Kemp s cry only a sound of blows and feet and heavy breathing.",NO QUOTE,,,,0,28,1.0,1.0
1113,1114,"Then came a mighty effort, and the Invisible Man threw off a couple of his antagonists and rose to his knees. Kemp clung to him in front like a hound to a stag, and a dozen hands gripped, clutched, and tore at the Unseen. The tram conductor suddenly got the neck and shoulders and lugged him back.",NO QUOTE,,,,0,28,1.0,1.0
1114,1115,"Down went the heap of struggling men again and rolled over. There was, I am afraid, some savage kicking. Then suddenly a wild scream of  /newquote  that died down swiftly to a sound like choking.",Mercy! Mercy!,The Invisible Man,"['The Constable', 'Kemp', 'The Big Navvy']",NO MONOLOGUE,0,28,Implicit,
1115,1116," cried the muffled voice of Kemp, and there was a vigorous shoving back of stalwart forms. ","Get back, you fools! /newquote He s hurt, I tell you. Stand back!",Kemp,"['The Invisible Man', 'The Constable', 'The Big Navvy']",NO MONOLOGUE,0,28,Explicit,cried the muffled voice of Kemp
1116,1117,"There was a brief struggle to clear a space, and then the circle of eager faces saw the doctor kneeling, as it seemed, fifteen inches in the air, and holding invisible arms to the ground. Behind him a constable gripped invisible ankles.",NO QUOTE,,,,0,28,1.0,1.0
1117,1118," cried the big navvy, holding a blood-stained spade; ","Don t you leave go of en, /newquote he s shamming.",The Big Navvy,"['The Invisible Man', 'The Constable', 'Kemp']",NO MONOLOGUE,0,28,Explicit,cried the big navvy
1118,1119," said the doctor, cautiously raising his knee;  /newquote  His face was bruised and already going red; he spoke thickly because of a bleeding lip. He released one hand and seemed to be feeling at the face.  /newquote  he said. And then, ","He s not shamming, /newquote and I ll hold him. /newquote The mouth s all wet, /newquote Good God!",Kemp,"['The Invisible Man', 'The Constable', 'The Big Navvy']",NO MONOLOGUE,0,28,Anaphoric,said the doctor
1119,1120,"He stood up abruptly and then knelt down on the ground by the side of the thing unseen. There was a pushing and shuffling, a sound of heavy feet as fresh people turned up to increase the pressure of the crowd. People now were coming out of the houses. The doors of the  /newquote  stood suddenly wide open. Very little was said.",Jolly Cricketers,The Invisible Man,['Mrs. Hall'],NO MONOLOGUE,0,28,Anaphoric,he cried
1120,1121,"Kemp felt about, his hand seeming to pass through empty air.  /newquote  he said, and then, ","He s not breathing, /newquote I can t feel his heart. His side ugh!",Kemp,"['The Big Navvy', 'The Constable', 'An Old Woman', 'A Man']",NO MONOLOGUE,0,28,Anaphoric,he said
1121,1122,"Suddenly an old woman, peering under the arm of the big navvy, screamed sharply.  /newquote  she said, and thrust out a wrinkled finger.",Looky there!,An Old Woman,"['The Constable', 'Kemp', 'A Man', 'The Big Navvy']",NO MONOLOGUE,0,28,Anaphoric,she said
1122,1123,"And looking where she pointed, everyone saw, faint and transparent as though it was made of glass, so that veins and arteries and bones and nerves could be distinguished, the outline of a hand, a hand limp and prone. It grew clouded and opaque even as they stared.",NO QUOTE,,,,0,28,1.0,1.0
1123,1124, cried the constable. ,Hullo! /newquote Here s his feet a-showing!,The Constable,"['Kemp', 'An Old Woman', 'A Man', 'The Big Navvy']",NO MONOLOGUE,0,28,Explicit,cried the constable
1124,1125,"And so, slowly, beginning at his hands and feet and creeping along his limbs to the vital centres of his body, that strange change continued. It was like the slow spreading of a poison. First came the little white nerves, a hazy grey sketch of a limb, then the glassy bones and intricate arteries, then the flesh and skin, first a faint fogginess, and then growing rapidly dense and opaque. Presently they could see his crushed chest and his shoulders, and the dim outline of his drawn and battered features.",NO QUOTE,,,,0,28,1.0,1.0
1125,1126,"When at last the crowd made way for Kemp to stand erect, there lay, naked and pitiful on the ground, the bruised and broken body of a young man about thirty. His hair and brow were white not grey with age, but white with the whiteness of albinism and his eyes were like garnets. His hands were clenched, his eyes wide open, and his expression was one of anger and dismay.",NO QUOTE,,,,0,28,1.0,1.0
1126,1127," said a man.  /newquote  and three little children, pushing forward through the crowd, were suddenly twisted round and sent packing off again.","Cover his face! /newquote For Gawd s sake, cover that face!",A Man,"['The Constable', 'Kemp', 'An Old Woman', 'The Big Navvy']",NO MONOLOGUE,0,28,Explicit,said a man
1127,1128,"Someone brought a sheet from the  /newquote  and having covered him, they carried him into that house. And there it was, on a shabby bed in a tawdry, ill-lighted bedroom, surrounded by a crowd of ignorant and excited people, broken and wounded, betrayed and unpitied, that Griffin, the first of all men to make himself invisible, Griffin, the most gifted physicist the world has ever seen, ended in infinite disaster his strange and terrible career.","Jolly Cricketers,",Kemp,[],NO MONOLOGUE,0,28,Anaphoric,he said
1128,1129,THE EPILOGUE,NO QUOTE,,,,0,28,1.0,1.0
1129,1130,"So ends the story of the strange and evil experiments of the Invisible Man. And if you would learn more of him you must go to a little inn near Port Stowe and talk to the landlord. The sign of the inn is an empty board save for a hat and boots, and the name is the title of this story. The landlord is a short and corpulent little man with a nose of cylindrical proportions, wiry hair, and a sporadic rosiness of visage. Drink generously, and he will tell you generously of all the things that happened to him after that time, and of how the lawyers tried to do him out of the treasure found upon him.",NO QUOTE,,,,0,28,1.0,1.0
1130,1131," he says, ","When they found they couldn t prove whose money was which, I m blessed, /newquote if they didn t try to make me out a blooming treasure trove! Do I _look_ like a Treasure Trove? And then a gentleman gave me a guinea a night to tell the story at the Empire Music  All just to tell  em in my own words barring one.",Mr. Thomas Marvel,[],NO MONOLOGUE,0,28,Anaphoric,he says
1131,1132,"And if you want to cut off the flow of his reminiscences abruptly, you can always do so by asking if there weren t three manuscript books in the story. He admits there were and proceeds to explain, with asseverations that everybody thinks _he_ has  em! But bless you! he hasn t. ",The Invisible Man it was took  em off to hide  em when I cut and ran for Port Stowe. It s that Mr. Kemp put people on with the idea of _my_ having  em.,Mr. Thomas Marvel,[],NO MONOLOGUE,0,28,Implicit,
